index_date;industrial_electricity_consumption_(gwh)
2019-05-01;14188.1064015135
2019-06-01;13821.459184244
2019-07-01;13901.1121885595
2019-08-01;13837.9450150957
2019-09-01;13651.615237696
2019-10-01;13968.0809032727
2019-11-01;13861.7607931543
2019-12-01;13625.5398130414
2020-01-01;13927.0775468104
2020-02-01;14070.4600145356
2020-03-01;14047.3369433988
2020-04-01;12155.3048171019
2020-05-01;12313.5960657442
2020-06-01;12603.6388715636
2020-07-01;13772.3506883485
2020-08-01;14240.4510180195
2020-09-01;14535.7265007939
2020-10-01;14718.8607921893
2020-11-01;14473.0281517714
2020-12-01;14775.7386634948
2021-01-01;15062.5568176176
2021-02-01;14684.6458824784
2021-03-01;15511.1988481407
2021-04-01;15202.6452963959
2021-05-01;15156.7740424588
2021-06-01;15097.6020786036
2021-07-01;15179.7283964227
2021-08-01;15113.9861262437
2021-09-01;15047.4980388195
2021-10-01;15130.0045041937
