index_date;industrial_electricity_consumption_(GWh)
1987-11;8546
1987-12;8183
1988-01;8219
1988-02;8201
1988-03;8343
1988-04;8472
1988-05;8073
1988-06;8315
1988-07;8494
1988-08;8521
1988-09;8768
1988-10;8690
1988-11;8221
1988-12;8210
1989-01;8085
1989-02;8088
1989-03;7595
1989-04;8550
1989-05;8259
1989-06;8725
1989-07;8966
1989-08;8942
1989-09;9300
1989-10;8896
1989-11;9062
1989-12;8529
1990-01;8327
1990-02;8542
1990-03;8159
1990-04;7980
1990-05;7145
1990-06;8006
1990-07;8155
1990-08;8643
1990-09;9094
1990-10;8544
1990-11;8981
1990-12;8295
1991-01;7599
1991-02;8003
1991-03;7466
1991-04;8138
1991-05;8583
1991-06;8891
1991-07;8796
1991-08;9277
1991-09;9280
1991-10;9068
1991-11;9040
1991-12;8460
1992-01;7953
1992-02;8358
1992-03;8422
1992-04;8361
1992-05;8665
1992-06;8638
1992-07;8749
1992-08;9092
1992-09;8857
1992-10;8832
1992-11;8872
1992-12;8528
1993-01;8290
1993-02;8326
1993-03;8498
1993-04;9221
1993-05;8904
1993-06;9087
1993-07;9139
1993-08;9373
1993-09;9321
1993-10;9059
1993-11;9121
1993-12;8642
1994-01;8494
1994-02;8368
1994-03;8477
1994-04;9044
1994-05;8580
1994-06;9026
1994-07;8775
1994-08;9096
1994-09;9450
1994-10;9352
1994-11;9195
1994-12;9206
1995-01;9171
1995-02;9109
1995-03;9070
1995-04;9607
1995-05;9101
1995-06;9351
1995-07;9333
1995-08;9312
1995-09;9647
1995-10;9238
1995-11;9603
1995-12;9124
1996-01;8753
1996-02;9278
1996-03;9204
1996-04;9539
1996-05;9623
1996-06;9833
1996-07;9655
1996-08;10390
1996-09;10187
1996-10;10031
1996-11;10076
1996-12;9947
1997-01;9455
1997-02;9840
1997-03;9488
1997-04;9945
1997-05;10304
1997-06;10045
1997-07;10285
1997-08;10685
1997-09;10441
1997-10;10567
1997-11;10727
1997-12;9935
1998-01;9545
1998-02;9722
1998-03;9609
1998-04;10400
1998-05;10367
1998-06;10168
1998-07;10351
1998-08;10723
1998-09;10510
1998-10;10425
1998-11;10343
1998-12;9815
1999-01;9257
1999-02;9441
1999-03;9762
1999-04;10512
1999-05;10215
1999-06;10411
1999-07;10467
1999-08;10804
1999-09;10750
1999-10;10742
1999-11;10864
1999-12;10667
2000-01;10024
2000-02;10388
2000-03;10769
2000-04;10942
2000-05;10882
2000-06;11216
2000-07;11049
2000-08;11271
2000-09;11094
2000-10;11350
2000-11;11422
2000-12;10873
2001-01;10426
2001-02;10856
2001-03;10892
2001-04;11307
2001-05;11338
2001-06;10662
2001-07;9178
2001-08;9520
2001-09;9586
2001-10;9566
2001-11;9686
2001-12;9521
2002-01;9431
2002-02;9919
2002-03;10362
2002-04;10762
2002-05;10920
2002-06;10898
2002-07;10720
2002-08;11024
2002-09;10893
2002-10;11000
2002-11;11040
2002-12;10659
2003-01;10345
2003-02;10471
2003-03;10565
2003-04;10850
2003-05;10750
2003-06;10788
2003-07;10818
2003-08;10793
2003-09;10855
2003-10;11215
2003-11;11251
2003-12;11531
2004-01;10375
2004-02;10508
2004-03;10803
2004-04;10914
2004-05;12012
2004-06;12278
2004-07;12417
2004-08;12684
2004-09;12612
2004-10;12682
2004-11;12556
2004-12;12479
2005-01;12078
2005-02;12022
2005-03;12289
2005-04;12526
2005-05;12587
2005-06;12613
2005-07;12684
2005-08;12785
2005-09;12642
2005-10;12659
2005-11;12704
2005-12;12655
2006-01;14731
2006-02;13841
2006-03;14070
2006-04;13331
2006-05;13870
2006-06;13163
2006-07;13085
2006-08;13691
2006-09;13341
2006-10;13481
2006-11;14114
2006-12;13888
2007-01;13538
2007-02;13668
2007-03;14547
2007-04;14472
2007-05;14659
2007-06;14692
2007-07;14696
2007-08;14967
2007-09;14973
2007-10;15060
2007-11;15135
2007-12;15015
2008-01;14263
2008-02;14341
2008-03;14930
2008-04;14802
2008-05;15087
2008-06;15144
2008-07;15562
2008-08;15765
2008-09;15577
2008-10;15794
2008-11;15144
2008-12;13675
2009-01;12164
2009-02;12623
2009-03;13389
2009-04;13559
2009-05;13357
2009-06;13606
2009-07;13997
2009-08;14477
2009-09;14610
2009-10;14822
2009-11;14812
2009-12;14570
2010-01;13425
2010-02;14078
2010-03;14766
2010-04;14921
2010-05;15025
2010-06;15180
2010-07;15303
2010-08;15456
2010-09;15405
2010-10;15434
2010-11;15317
2010-12;15169
2011-01;14467
2011-02;14487
2011-03;15188
2011-04;15335
2011-05;15255
2011-06;15387
2011-07;15436
2011-08;15853
2011-09;15731
2011-10;15671
2011-11;15484
2011-12;15282
2012-01;14567
2012-02;15059
2012-03;15579
2012-04;15530
2012-05;15264
2012-06;15159
2012-07;15214
2012-08;15634
2012-09;15573
2012-10;15548
2012-11;15470
2012-12;14834
2013-01;14306
2013-02;14790
2013-03;15148
2013-04;15592
2013-05;15569
2013-06;15326
2013-07;15490
2013-08;15886
2013-09;15594
2013-10;15787
2013-11;15810
2013-12;15321
2014-01;14506
2014-02;14989
2014-03;15110
2014-04;15143
2014-05;14885
2014-06;14554
2014-07;14467
2014-08;15067
2014-09;14869
2014-10;14882
2014-11;15101
2014-12;14648
2015-01;13831
2015-02;14420
2015-03;14647
2015-04;14582
2015-05;14250
2015-06;14115
2015-07;13891
2015-08;14230
2015-09;13957
2015-10;14064
2015-11;13827
2015-12;13327
2016-01;12538
2016-02;13368
2016-03;13724
2016-04;13810
2016-05;13835
2016-06;13763
2016-07;13944
2016-08;14090
2016-09;13954
2016-10;13810
2016-11;13786
2016-12;13387
2017-01;13017
2017-02;13323
2017-03;13908
2017-04;14007
2017-05;13598
2017-06;13919
2017-07;14082
2017-08;14197
2017-09;14146
2017-10;14173
2017-11;14316
2017-12;14073
2018-01;13597
2018-02;13845
2018-03;14023
2018-04;14539
2018-05;14048
2018-06;13525
2018-07;14170
2018-08;14486
2018-09;14419
2018-10;14312
2018-11;14498
2018-12;14001
2019-01;13575
2019-02;13575
2019-03;13858
2019-04;13676
2019-05;14126
2019-06;13760
2019-07;14000
2019-08;14119
2019-09;13791
2019-10;14306
2019-11;14070
2019-12;13442
2020-01;13476
2020-02;13736
2020-03;14071
2020-04;12173
2020-05;12248
2020-06;12522
2020-07;13864
2020-08;14517
2020-09;14652
2020-10;15109
2020-11;14672
2020-12;14589
2021-01;14627
2021-02;14346
2021-03;15549
2021-04;15210
2021-05;15094
2021-06;15003
2021-07;15260
2021-08;15387
2021-09;15161
2021-10;15551
